PVM,TILI,TOSITE,SK1,SK2,SUMMA,SELITE,VEROKANTA,VEROSUMMA
20220902,7540,1095,001,,40.32,KäyttöAuto T#15075219 ,OS24,9.68
20220902,2875,1095,,,-50.00,KäyttöAuto,,
20220906,4001,1096,001,,29.82,Kespro T#15162029 Tukku,OS14,4.18
20220906,2875,1096,,,-34.00,Kespro,,
20220916,4040,1097,001,,5.81,Kespro T#15247288 ,OS24,1.39
20220916,4020,1097,001,,101.87,Kespro T#15247288 ,OS24,24.45
20220916,4000,1097,001,,16.28,Kespro T#15247288 ,OS24,3.91
20220916,7050,1097,001,,4.77,Kespro T#15247288 ,OS24,1.14
20220916,7360,1097,001,,67.52,Kespro T#15247288 ,OS24,16.21
20220916,2875,1097,,,-243.35,Kespro,,
20220916,7530,1098,001,,72.58,Neste T#15247307 JJI-914,OS24,17.42
20220916,2875,1098,,,-90.00,Neste,,
